,Name,Wert
37,PEG_trailing,0.057775766798147166
5,gsubind,0.04846732051414991
38,gsector,0.03789370998413844
3,dpr,0.035493588419211464
10,quick_ratio,0.034699135991775064
36,debt_invcap,0.03459471973888891
30,debt_assets,0.034133825359970185
4,GProf,0.030990169935087342
6,at_turn,0.029537292783583736
19,dltt_be,0.029266056267111994
28,pcf,0.027333345641873723
34,fcf_ocf,0.026527114789216294
17,int_debt,0.02640198497419179
7,npm,0.02577614802712752
11,,
0,,
27,,
15,,
29,,
23,,
16,,
9,,
1,,
21,,
26,,
31,,
13,,
14,,
2,,
20,,
24,,
25,,
33,,
8,,
22,,
18,,
12,,
32,,
35,,
