gvkey,splticrm,datadate,ggroup,gind,gsector,gsubind,naics,sic,spcindcd,spcseccd,conm,tic,cusip
001161,B-,31/01/2010,4530,453010,45,45301020,334413,3674,235,940,ADVANCED MICRO DEVICES,AMD,007903107
001161,B-,28/02/2010,4530,453010,45,45301020,334413,3674,235,940,ADVANCED MICRO DEVICES,AMD,007903107
001161,B-,31/03/2010,4530,453010,45,45301020,334413,3674,235,940,ADVANCED MICRO DEVICES,AMD,007903107
001161,B-,30/04/2010,4530,453010,45,45301020,334413,3674,235,940,ADVANCED MICRO DEVICES,AMD,007903107
001161,B-,31/05/2010,4530,453010,45,45301020,334413,3674,235,940,ADVANCED MICRO DEVICES,AMD,007903107
001161,B-,30/06/2010,4530,453010,45,45301020,334413,3674,235,940,ADVANCED MICRO DEVICES,AMD,007903107
001161,B+,31/07/2010,4530,453010,45,45301020,334413,3674,235,940,ADVANCED MICRO DEVICES,AMD,007903107
001161,B+,31/08/2010,4530,453010,45,45301020,334413,3674,235,940,ADVANCED MICRO DEVICES,AMD,007903107
001161,B+,30/09/2010,4530,453010,45,45301020,334413,3674,235,940,ADVANCED MICRO DEVICES,AMD,007903107
001161,B+,31/10/2010,4530,453010,45,45301020,334413,3674,235,940,ADVANCED MICRO DEVICES,AMD,007903107
001161,B+,30/11/2010,4530,453010,45,45301020,334413,3674,235,940,ADVANCED MICRO DEVICES,AMD,007903107
001161,B+,31/12/2010,4530,453010,45,45301020,334413,3674,235,940,ADVANCED MICRO DEVICES,AMD,007903107
001161,B+,31/01/2011,4530,453010,45,45301020,334413,3674,235,940,ADVANCED MICRO DEVICES,AMD,007903107
001161,B+,28/02/2011,4530,453010,45,45301020,334413,3674,235,940,ADVANCED MICRO DEVICES,AMD,007903107
001161,B+,31/03/2011,4530,453010,45,45301020,334413,3674,235,940,ADVANCED MICRO DEVICES,AMD,007903107
001161,B+,30/04/2011,4530,453010,45,45301020,334413,3674,235,940,ADVANCED MICRO DEVICES,AMD,007903107
001161,B+,31/05/2011,4530,453010,45,45301020,334413,3674,235,940,ADVANCED MICRO DEVICES,AMD,007903107
001161,B+,30/06/2011,4530,453010,45,45301020,334413,3674,235,940,ADVANCED MICRO DEVICES,AMD,007903107
001161,B+,31/07/2011,4530,453010,45,45301020,334413,3674,235,940,ADVANCED MICRO DEVICES,AMD,007903107
001161,B+,31/08/2011,4530,453010,45,45301020,334413,3674,235,940,ADVANCED MICRO DEVICES,AMD,007903107
001161,B+,30/09/2011,4530,453010,45,45301020,334413,3674,235,940,ADVANCED MICRO DEVICES,AMD,007903107
001161,B+,31/10/2011,4530,453010,45,45301020,334413,3674,235,940,ADVANCED MICRO DEVICES,AMD,007903107
001161,B+,30/11/2011,4530,453010,45,45301020,334413,3674,235,940,ADVANCED MICRO DEVICES,AMD,007903107
001161,B+,31/12/2011,4530,453010,45,45301020,334413,3674,235,940,ADVANCED MICRO DEVICES,AMD,007903107
001161,B+,31/01/2012,4530,453010,45,45301020,334413,3674,235,940,ADVANCED MICRO DEVICES,AMD,007903107
001161,B+,29/02/2012,4530,453010,45,45301020,334413,3674,235,940,ADVANCED MICRO DEVICES,AMD,007903107
001161,B+,31/03/2012,4530,453010,45,45301020,334413,3674,235,940,ADVANCED MICRO DEVICES,AMD,007903107
001161,BB-,30/04/2012,4530,453010,45,45301020,334413,3674,235,940,ADVANCED MICRO DEVICES,AMD,007903107
001161,BB-,31/05/2012,4530,453010,45,45301020,334413,3674,235,940,ADVANCED MICRO DEVICES,AMD,007903107
001161,BB-,30/06/2012,4530,453010,45,45301020,334413,3674,235,940,ADVANCED MICRO DEVICES,AMD,007903107
001161,BB-,31/07/2012,4530,453010,45,45301020,334413,3674,235,940,ADVANCED MICRO DEVICES,AMD,007903107
001161,BB-,31/08/2012,4530,453010,45,45301020,334413,3674,235,940,ADVANCED MICRO DEVICES,AMD,007903107
001161,BB-,30/09/2012,4530,453010,45,45301020,334413,3674,235,940,ADVANCED MICRO DEVICES,AMD,007903107
001161,BB-,31/10/2012,4530,453010,45,45301020,334413,3674,235,940,ADVANCED MICRO DEVICES,AMD,007903107
001161,BB-,30/11/2012,4530,453010,45,45301020,334413,3674,235,940,ADVANCED MICRO DEVICES,AMD,007903107
001161,BB-,31/12/2012,4530,453010,45,45301020,334413,3674,235,940,ADVANCED MICRO DEVICES,AMD,007903107
001161,B,31/01/2013,4530,453010,45,45301020,334413,3674,235,940,ADVANCED MICRO DEVICES,AMD,007903107
001161,B,28/02/2013,4530,453010,45,45301020,334413,3674,235,940,ADVANCED MICRO DEVICES,AMD,007903107
001161,B,31/03/2013,4530,453010,45,45301020,334413,3674,235,940,ADVANCED MICRO DEVICES,AMD,007903107
001161,B,30/04/2013,4530,453010,45,45301020,334413,3674,235,940,ADVANCED MICRO DEVICES,AMD,007903107
001161,B,31/05/2013,4530,453010,45,45301020,334413,3674,235,940,ADVANCED MICRO DEVICES,AMD,007903107
001161,B,30/06/2013,4530,453010,45,45301020,334413,3674,235,940,ADVANCED MICRO DEVICES,AMD,007903107
